,columns,missing values count
0,Sensor - 1,18
1,Sensor - 2,54
2,Sensor - 3,234
3,Sensor - 4,234
4,Sensor - 5,234
5,Sensor - 6,234
6,Sensor - 7,234
7,Sensor - 8,144
8,Sensor - 9,36
9,Sensor - 10,36
10,Sensor - 11,36
11,Sensor - 12,36
12,Sensor - 13,36
13,Sensor - 14,54
14,Sensor - 15,54
15,Sensor - 16,54
16,Sensor - 17,54
17,Sensor - 18,54
18,Sensor - 19,54
19,Sensor - 20,0
20,Sensor - 21,0
21,Sensor - 22,18
22,Sensor - 23,18
23,Sensor - 24,18
24,Sensor - 25,18
25,Sensor - 26,18
26,Sensor - 27,18
27,Sensor - 28,18
28,Sensor - 29,18
29,Sensor - 30,18
30,Sensor - 31,18
31,Sensor - 32,18
32,Sensor - 33,0
33,Sensor - 34,0
34,Sensor - 35,0
35,Sensor - 36,0
36,Sensor - 37,0
37,Sensor - 38,0
38,Sensor - 39,0
39,Sensor - 40,0
40,Sensor - 41,252
41,Sensor - 42,252
42,Sensor - 43,0
43,Sensor - 44,0
44,Sensor - 45,0
45,Sensor - 46,0
46,Sensor - 47,0
47,Sensor - 48,0
48,Sensor - 49,0
49,Sensor - 50,0
50,Sensor - 51,0
51,Sensor - 52,0
52,Sensor - 53,0
53,Sensor - 54,18
54,Sensor - 55,18
55,Sensor - 56,18
56,Sensor - 57,18
57,Sensor - 58,18
58,Sensor - 59,18
59,Sensor - 60,90
60,Sensor - 61,90
61,Sensor - 62,90
62,Sensor - 63,90
63,Sensor - 64,90
64,Sensor - 65,90
65,Sensor - 66,90
66,Sensor - 67,90
67,Sensor - 68,90
68,Sensor - 69,90
69,Sensor - 70,90
70,Sensor - 71,90
71,Sensor - 72,90
72,Sensor - 73,9540
73,Sensor - 74,9540
74,Sensor - 75,90
75,Sensor - 76,432
76,Sensor - 77,432
77,Sensor - 78,432
78,Sensor - 79,432
79,Sensor - 80,432
80,Sensor - 81,432
81,Sensor - 82,432
82,Sensor - 83,432
83,Sensor - 84,18
84,Sensor - 85,36
85,Sensor - 86,10998
86,Sensor - 87,0
87,Sensor - 88,0
88,Sensor - 89,0
89,Sensor - 90,918
90,Sensor - 91,918
91,Sensor - 92,90
92,Sensor - 93,36
93,Sensor - 94,36
94,Sensor - 95,90
95,Sensor - 96,90
96,Sensor - 97,90
97,Sensor - 98,90
98,Sensor - 99,90
99,Sensor - 100,90
100,Sensor - 101,90
101,Sensor - 102,90
102,Sensor - 103,90
103,Sensor - 104,36
104,Sensor - 105,36
105,Sensor - 106,90
106,Sensor - 107,90
107,Sensor - 108,90
108,Sensor - 109,90
109,Sensor - 110,5184
110,Sensor - 111,5184
111,Sensor - 112,5184
112,Sensor - 113,10026
113,Sensor - 114,0
114,Sensor - 115,0
115,Sensor - 116,0
116,Sensor - 117,0
117,Sensor - 118,0
118,Sensor - 119,432
119,Sensor - 120,0
120,Sensor - 121,0
121,Sensor - 122,54
122,Sensor - 123,54
123,Sensor - 124,54
124,Sensor - 125,54
125,Sensor - 126,54
126,Sensor - 127,54
127,Sensor - 128,54
128,Sensor - 129,54
129,Sensor - 130,54
130,Sensor - 131,54
131,Sensor - 132,54
132,Sensor - 133,54
133,Sensor - 134,54
134,Sensor - 135,54
135,Sensor - 136,0
136,Sensor - 137,18
137,Sensor - 138,54
138,Sensor - 139,234
139,Sensor - 140,234
140,Sensor - 141,234
141,Sensor - 142,234
142,Sensor - 143,234
143,Sensor - 144,144
144,Sensor - 145,36
145,Sensor - 146,36
146,Sensor - 147,36
147,Sensor - 148,36
148,Sensor - 149,36
149,Sensor - 150,54
150,Sensor - 151,54
151,Sensor - 152,54
152,Sensor - 153,54
153,Sensor - 154,54
154,Sensor - 155,54
155,Sensor - 156,0
156,Sensor - 157,0
157,Sensor - 158,13878
158,Sensor - 159,13878
159,Sensor - 160,18
160,Sensor - 161,18
161,Sensor - 162,18
162,Sensor - 163,18
163,Sensor - 164,18
164,Sensor - 165,18
165,Sensor - 166,18
166,Sensor - 167,18
167,Sensor - 168,18
168,Sensor - 169,18
169,Sensor - 170,18
170,Sensor - 171,0
171,Sensor - 172,0
172,Sensor - 173,0
173,Sensor - 174,0
174,Sensor - 175,0
175,Sensor - 176,0
176,Sensor - 177,0
177,Sensor - 178,0
178,Sensor - 179,252
179,Sensor - 180,0
180,Sensor - 181,0
181,Sensor - 182,0
182,Sensor - 183,0
183,Sensor - 184,0
184,Sensor - 185,0
185,Sensor - 186,0
186,Sensor - 187,0
187,Sensor - 188,0
188,Sensor - 189,0
189,Sensor - 190,0
190,Sensor - 191,18
191,Sensor - 192,18
192,Sensor - 193,18
193,Sensor - 194,18
194,Sensor - 195,18
195,Sensor - 196,18
196,Sensor - 197,90
197,Sensor - 198,90
198,Sensor - 199,90
199,Sensor - 200,90
200,Sensor - 201,90
201,Sensor - 202,90
202,Sensor - 203,90
203,Sensor - 204,90
204,Sensor - 205,90
205,Sensor - 206,90
206,Sensor - 207,90
207,Sensor - 208,90
208,Sensor - 209,90
209,Sensor - 210,90
210,Sensor - 211,432
211,Sensor - 212,432
212,Sensor - 213,432
213,Sensor - 214,432
214,Sensor - 215,432
215,Sensor - 216,432
216,Sensor - 217,432
217,Sensor - 218,432
218,Sensor - 219,18
219,Sensor - 220,36
220,Sensor - 221,10998
221,Sensor - 222,0
222,Sensor - 223,0
223,Sensor - 224,0
224,Sensor - 225,918
225,Sensor - 226,918
226,Sensor - 227,90
227,Sensor - 228,36
228,Sensor - 229,36
229,Sensor - 230,90
230,Sensor - 231,90
231,Sensor - 232,90
232,Sensor - 233,90
233,Sensor - 234,90
234,Sensor - 235,90
235,Sensor - 236,90
236,Sensor - 237,90
237,Sensor - 238,90
238,Sensor - 239,36
239,Sensor - 240,36
240,Sensor - 241,90
241,Sensor - 242,90
242,Sensor - 243,90
243,Sensor - 244,90
244,Sensor - 245,5184
245,Sensor - 246,5184
246,Sensor - 247,5184
247,Sensor - 248,10026
248,Sensor - 249,0
249,Sensor - 250,0
250,Sensor - 251,0
251,Sensor - 252,0
252,Sensor - 253,0
253,Sensor - 254,432
254,Sensor - 255,0
255,Sensor - 256,0
256,Sensor - 257,54
257,Sensor - 258,54
258,Sensor - 259,54
259,Sensor - 260,54
260,Sensor - 261,54
261,Sensor - 262,54
262,Sensor - 263,54
263,Sensor - 264,54
264,Sensor - 265,54
265,Sensor - 266,54
266,Sensor - 267,54
267,Sensor - 268,54
268,Sensor - 269,54
269,Sensor - 270,54
270,Sensor - 271,0
271,Sensor - 272,18
272,Sensor - 273,54
273,Sensor - 274,234
274,Sensor - 275,234
275,Sensor - 276,234
276,Sensor - 277,234
277,Sensor - 278,234
278,Sensor - 279,144
279,Sensor - 280,36
280,Sensor - 281,36
281,Sensor - 282,36
282,Sensor - 283,36
283,Sensor - 284,36
284,Sensor - 285,54
285,Sensor - 286,54
286,Sensor - 287,54
287,Sensor - 288,54
288,Sensor - 289,54
289,Sensor - 290,54
290,Sensor - 291,0
291,Sensor - 292,0
292,Sensor - 293,13878
293,Sensor - 294,13878
294,Sensor - 295,18
295,Sensor - 296,18
296,Sensor - 297,18
297,Sensor - 298,18
298,Sensor - 299,18
299,Sensor - 300,18
300,Sensor - 301,18
301,Sensor - 302,18
302,Sensor - 303,18
303,Sensor - 304,18
304,Sensor - 305,18
305,Sensor - 306,0
306,Sensor - 307,0
307,Sensor - 308,0
308,Sensor - 309,0
309,Sensor - 310,0
310,Sensor - 311,0
311,Sensor - 312,0
312,Sensor - 313,0
313,Sensor - 314,252
314,Sensor - 315,252
315,Sensor - 316,0
316,Sensor - 317,0
317,Sensor - 318,0
318,Sensor - 319,0
319,Sensor - 320,0
320,Sensor - 321,0
321,Sensor - 322,0
322,Sensor - 323,0
323,Sensor - 324,0
324,Sensor - 325,0
325,Sensor - 326,0
326,Sensor - 327,18
327,Sensor - 328,18
328,Sensor - 329,18
329,Sensor - 330,18
330,Sensor - 331,18
331,Sensor - 332,18
332,Sensor - 333,90
333,Sensor - 334,90
334,Sensor - 335,90
335,Sensor - 336,90
336,Sensor - 337,90
337,Sensor - 338,90
338,Sensor - 339,90
339,Sensor - 340,90
340,Sensor - 341,90
341,Sensor - 342,90
342,Sensor - 343,90
343,Sensor - 344,90
344,Sensor - 345,90
345,Sensor - 346,9540
346,Sensor - 347,9540
347,Sensor - 348,90
348,Sensor - 349,432
349,Sensor - 350,432
350,Sensor - 351,432
351,Sensor - 352,432
352,Sensor - 353,432
353,Sensor - 354,432
354,Sensor - 355,432
355,Sensor - 356,432
356,Sensor - 357,18
357,Sensor - 358,36
358,Sensor - 359,10998
359,Sensor - 360,0
360,Sensor - 361,0
361,Sensor - 362,0
362,Sensor - 363,918
363,Sensor - 364,918
364,Sensor - 365,90
365,Sensor - 366,36
366,Sensor - 367,36
367,Sensor - 368,90
368,Sensor - 369,90
369,Sensor - 370,90
370,Sensor - 371,90
371,Sensor - 372,90
372,Sensor - 373,90
373,Sensor - 374,90
374,Sensor - 375,90
375,Sensor - 376,90
376,Sensor - 377,36
377,Sensor - 378,36
378,Sensor - 379,90
379,Sensor - 380,90
380,Sensor - 381,90
381,Sensor - 382,90
382,Sensor - 383,5184
383,Sensor - 384,5184
384,Sensor - 385,5184
385,Sensor - 386,10026
386,Sensor - 387,0
387,Sensor - 388,0
388,Sensor - 389,0
389,Sensor - 390,0
390,Sensor - 391,0
391,Sensor - 392,432
392,Sensor - 393,0
393,Sensor - 394,0
394,Sensor - 395,54
395,Sensor - 396,54
396,Sensor - 397,54
397,Sensor - 398,54
398,Sensor - 399,54
399,Sensor - 400,54
400,Sensor - 401,54
401,Sensor - 402,54
402,Sensor - 403,54
403,Sensor - 404,54
404,Sensor - 405,54
405,Sensor - 406,54
406,Sensor - 407,54
407,Sensor - 408,54
408,Sensor - 409,0
409,Sensor - 410,18
410,Sensor - 411,54
411,Sensor - 412,234
412,Sensor - 413,234
413,Sensor - 414,234
414,Sensor - 415,234
415,Sensor - 416,234
416,Sensor - 417,144
417,Sensor - 418,36
418,Sensor - 419,36
419,Sensor - 420,36
420,Sensor - 421,36
421,Sensor - 422,36
422,Sensor - 423,54
423,Sensor - 424,54
424,Sensor - 425,54
425,Sensor - 426,54
426,Sensor - 427,54
427,Sensor - 428,54
428,Sensor - 429,0
429,Sensor - 430,0
430,Sensor - 431,18
431,Sensor - 432,18
432,Sensor - 433,18
433,Sensor - 434,18
434,Sensor - 435,18
435,Sensor - 436,18
436,Sensor - 437,18
437,Sensor - 438,18
438,Sensor - 439,18
439,Sensor - 440,18
440,Sensor - 441,18
441,Sensor - 442,0
442,Sensor - 443,0
443,Sensor - 444,0
444,Sensor - 445,0
445,Sensor - 446,0
446,Sensor - 447,0
447,Sensor - 448,0
448,Sensor - 449,0
449,Sensor - 450,252
450,Sensor - 451,252
451,Sensor - 452,0
452,Sensor - 453,0
453,Sensor - 454,0
454,Sensor - 455,0
455,Sensor - 456,0
456,Sensor - 457,0
457,Sensor - 458,0
458,Sensor - 459,0
459,Sensor - 460,0
460,Sensor - 461,0
461,Sensor - 462,0
462,Sensor - 463,18
463,Sensor - 464,18
464,Sensor - 465,18
465,Sensor - 466,18
466,Sensor - 467,18
467,Sensor - 468,18
468,Sensor - 469,90
469,Sensor - 470,90
470,Sensor - 471,90
471,Sensor - 472,90
472,Sensor - 473,90
473,Sensor - 474,90
474,Sensor - 475,90
475,Sensor - 476,90
476,Sensor - 477,90
477,Sensor - 478,90
478,Sensor - 479,90
479,Sensor - 480,90
480,Sensor - 481,90
481,Sensor - 482,90
482,Sensor - 483,432
483,Sensor - 484,432
484,Sensor - 485,432
485,Sensor - 486,432
486,Sensor - 487,432
487,Sensor - 488,432
488,Sensor - 489,432
489,Sensor - 490,432
490,Sensor - 491,18
491,Sensor - 492,36
492,Sensor - 493,10998
493,Sensor - 494,0
494,Sensor - 495,0
495,Sensor - 496,0
496,Sensor - 497,918
497,Sensor - 498,918
498,Sensor - 499,90
499,Sensor - 500,36
500,Sensor - 501,36
